[2025-07-01 16:44:39,707] INFO] Starting fetch for api....]
[2025-07-01 16:44:40,209] INFO] Fetching the Page 1 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=20&page=1&apiKey=fd5dd9059e6c423ab6d91ea447f2e72d ]
[2025-07-01 16:44:40,214] INFO] Page 1 : Retrived 100 articles.]
[2025-07-01 16:44:41,191] INFO] Fetching the Page 2 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=20&page=2&apiKey=fd5dd9059e6c423ab6d91ea447f2e72d ]
[2025-07-01 16:44:41,193] INFO] Page 2 : Retrived 100 articles.]
[2025-07-01 16:44:41,797] INFO] Fetching the Page 3 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=20&page=3&apiKey=fd5dd9059e6c423ab6d91ea447f2e72d ]
[2025-07-01 16:44:41,801] INFO] Page 3 : Retrived 99 articles.]
[2025-07-01 16:44:42,508] INFO] Fetching the Page 4 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=20&page=4&apiKey=fd5dd9059e6c423ab6d91ea447f2e72d ]
[2025-07-01 16:44:42,512] INFO] Page 4 : Retrived 100 articles.]
[2025-07-01 16:44:42,991] INFO] Fetching the Page 5 -> 200 -> https://newsapi.org/v2/everything?q=bitcoin&page_size=20&page=5&apiKey=fd5dd9059e6c423ab6d91ea447f2e72d ]
[2025-07-01 16:44:42,994] INFO] Page 5 : Retrived 97 articles.]
[2025-07-01 16:44:42,996] INFO] Total Fetched Articles are 496]
[2025-07-01 16:44:42,999] INFO] Saved article to queue\72cfec90-f973-4c05-89f0-d77836b536ff.json]
[2025-07-01 16:44:43,003] INFO] Saved article to queue\ced7210a-a89b-4000-be43-5658bfc08bd3.json]
[2025-07-01 16:44:43,008] INFO] Saved article to queue\9eba5770-5c71-4c7f-9598-9e6a7dcbbfd4.json]
[2025-07-01 16:44:43,010] INFO] Saved article to queue\feffde30-48f0-4592-86fa-dc7e94541f40.json]
[2025-07-01 16:44:43,012] INFO] Saved article to queue\ed2cd025-251d-4271-852c-904e4dc5b794.json]
[2025-07-01 16:44:43,014] INFO] Saved article to queue\53fc1c48-210d-413f-aa07-c89112e78cb3.json]
[2025-07-01 16:44:43,016] INFO] Saved article to queue\20f5d40f-b94e-4c8d-b62b-70c04d016555.json]
[2025-07-01 16:44:43,017] INFO] Saved article to queue\3f106c6f-4405-46f9-bb6f-8b77cfac6cc3.json]
[2025-07-01 16:44:43,019] INFO] Saved article to queue\7a6e2fe0-4f57-4563-b134-9bec7841f400.json]
[2025-07-01 16:44:43,020] INFO] Saved article to queue\3d929c00-ec40-421d-b960-3a80663875bc.json]
[2025-07-01 16:44:43,021] INFO] Saved article to queue\c55ee999-f992-49da-b437-c7e6391a35ed.json]
[2025-07-01 16:44:43,023] INFO] Saved article to queue\eadfbccd-69e9-446c-9b49-aa13e730b809.json]
[2025-07-01 16:44:43,025] INFO] Saved article to queue\5d9f3782-21e5-4840-9181-a39986947277.json]
[2025-07-01 16:44:43,027] INFO] Saved article to queue\652094a5-929a-494f-8ab0-08fe31548f82.json]
[2025-07-01 16:44:43,029] INFO] Saved article to queue\9dcecf66-51be-4d26-be8a-f5ec8181c376.json]
[2025-07-01 16:44:43,030] INFO] Saved article to queue\c83b8a5a-41a4-4b88-831f-f7190dd5f325.json]
[2025-07-01 16:44:43,031] INFO] Saved article to queue\3079f5bc-fbaa-4979-8ddb-8324d57b8f7f.json]
[2025-07-01 16:44:43,033] INFO] Saved article to queue\07d49fcb-3326-4cda-901b-de4750e074dd.json]
